reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	24	4	0.16666666666666666
motion	motion_one_hop_jerund	0	60	60	1.0
motion	motion_one_hop_jerund	1	60	60	1.0
motion	motion_one_hop_jerund	2	40	8	0.2
motion	non_motion_one_hop	0	24	20	0.8333333333333334
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	24	20	0.8333333333333334
motion	non_motion_one_hop_jerund	0	48	41	0.8541666666666666
motion	non_motion_one_hop_jerund	1	48	23	0.4791666666666667
motion	non_motion_one_hop_jerund	2	32	25	0.78125
orientation	above_below_one_hop	0	448	0	0.0
orientation	above_below_one_hop	1	2688	1861	0.6923363095238095
orientation	cardinals_neutral	0	7680	0	0.0
orientation	cardinals_one_hop	0	240	0	0.0
orientation	cardinals_one_hop	1	1680	1679	0.9994047619047619
orientation	front_back_one_hop	0	448	0	0.0
orientation	front_back_one_hop	1	2688	2083	0.7749255952380952
orientation	left_right_one_hop	0	1008	0	0.0
orientation	left_right_one_hop	1	3696	2639	0.7140151515151515
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	56	0.9333333333333333
distance	far_negative	2	60	60	1.0
distance	far_negative	3	60	60	1.0
distance	far_positive	0	20	6	0.3
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	180	33	0.18333333333333332
distance	nearby_neutral	1	180	3	0.016666666666666666
distance	not_touching_neutral	0	180	32	0.17777777777777778
distance	not_touching_neutral	1	180	0	0.0
distance	not_touching_neutral	2	180	20	0.1111111111111111
distance	not_touching_neutral	3	180	0	0.0
distance	touching_negative	0	180	180	1.0
distance	touching_negative	1	180	179	0.9944444444444445
distance	touching_negative	2	180	180	1.0
distance	touching_positive	0	180	132	0.7333333333333333
distance	touching_positive	1	180	180	1.0
distance	touching_positive	2	180	180	1.0
distance	transitivity_negative	0	1620	52	0.03209876543209877
containment	filled_with	0	12	6	0.5
containment	filled_with	1	12	0	0.0
containment	motion_out_of	0	36	18	0.5
containment	motion_out_of	1	36	19	0.5277777777777778
containment	motion_out_of	2	18	0	0.0
containment	motion_out_of	3	18	18	1.0
containment	movement_into_container	0	36	36	1.0
containment	movement_into_container	1	36	0	0.0
containment	movement_into_container	2	18	18	1.0
containment	one_hop_neg	0	84	84	1.0
containment	one_hop_neg	1	84	84	1.0
containment	one_hop_pos	0	136	125	0.9191176470588235
containment	one_hop_pos	1	136	136	1.0
containment	one_hop_pos	2	136	136	1.0
containment	two_hop_fits_in	0	552	552	1.0
containment	two_hop_fits_in	1	552	43	0.07789855072463768
containment	two_hop_fits_in	2	552	0	0.0
containment	two_hop_fits_in	3	552	4	0.007246376811594203
containment	two_hop_fits_in	4	552	21	0.03804347826086957
containment	two_hop_fits_in	5	552	0	0.0
containment	two_hop_fits_in	6	552	7	0.012681159420289856
containment	two_hop_is_in	0	552	541	0.980072463768116
containment	two_hop_is_in	1	552	552	1.0
containment	two_hop_is_in	2	552	552	1.0
containment	two_hop_is_in	3	552	552	1.0
containment	two_hop_is_in	4	552	545	0.9873188405797102
containment	two_hop_is_in	5	552	0	0.0
containment	two_hop_is_in	6	552	0	0.0
